id,name,class,node_type,level,parent_of,child_of,adjacent_to
160ed4b3,Sales & Business Development Roles,Archetype,top_archetype,1,0a530e68;303d73b5;0e2fc147;0991e937,,
0a530e68,Sales Leadership & Management Roles,Archetype,sub_archetype1,2,0fe44122;b5f790f2;4aaf7890;5e624184;660b33e6;e8cb2532;77d213f8;84c5dded;2faab831;c6ff784f;419e4897;81d3f468;13977578;ff76ac98;ee5e8399;24ca4ef1;cd539c26;9feff01b,160ed4b3,
0fe44122,Sales Leadership,Archetype,sub_archetype2,3,966815c4;69eea09a;d121d979;c0baa9a3;922fde32;eda07f9b;d6ca13a2;f0184368;2c5b5671;fa2bfff6;3b7c3e04;0fb41e11;ce610a85;cfc6e583;1c7dfa85;09ef1168;05fb4545;259c3d41;e80c1bde;09ab50df;35acd08c;36301d08;fb912ea9;3f468d59;482861c5;740fe6ab;8a9d04eb,0a530e68,
966815c4,Service Operations Sales Leader,Archetype,job_role,4,,0fe44122,
69eea09a,Sales Manager - EMEA,Archetype,job_role,4,,0fe44122,
d121d979,Area Vice President of Sales - Federal Civilian,Archetype,job_role,4,,0fe44122,
c0baa9a3,Global Solution Sales Executive - Industry,Archetype,job_role,4,,0fe44122,
922fde32,Sales Director,Archetype,job_role,4,,0fe44122,
eda07f9b,AVP Sales - SLG,Archetype,job_role,4,,0fe44122,
d6ca13a2,Head of Sales - TMT / ITES,Archetype,job_role,4,,0fe44122,
f0184368,"AVP, Customer Outcomes Sales EMEA",Archetype,job_role,4,,0fe44122,
2c5b5671,Sales Manager,Archetype,job_role,4,,0fe44122,
fa2bfff6,Sales Leader - Strategic System Integrators,Archetype,job_role,4,,0fe44122,
3b7c3e04,Global Sales Director,Archetype,job_role,4,,0fe44122,
0fb41e11,Financial Services Sales Leader,Archetype,job_role,4,,0fe44122,
ce610a85,Vice President of Sales,Archetype,job_role,4,,0fe44122,
cfc6e583,EMEA Sales Director,Archetype,job_role,4,,0fe44122,
1c7dfa85,"Area Vice President, Sales",Archetype,job_role,4,,0fe44122,
09ef1168,Sales Manager - ITES,Archetype,job_role,4,,0fe44122,
05fb4545,Enterprise Sales Technology Leader,Archetype,job_role,4,,0fe44122,
259c3d41,"Senior Director, Global Sales Plays",Archetype,job_role,4,,0fe44122,
e80c1bde,Sales Operations Leader,Archetype,job_role,4,,0fe44122,
09ab50df,Creator Workflow Sales Leader,Archetype,job_role,4,,0fe44122,
35acd08c,GCP Sales Leader,Archetype,job_role,4,,0fe44122,
36301d08,VP Sales - SLED,Archetype,job_role,4,,0fe44122,
fb912ea9,Sales Director - Financial Services,Archetype,job_role,4,,0fe44122,
3f468d59,Regional Sales Director,Archetype,job_role,4,,0fe44122,
482861c5,Global Sales Development Manager,Archetype,job_role,4,,0fe44122,
740fe6ab,"Chief of Staff, Global Enterprise Sales",Archetype,job_role,4,,0fe44122,
8a9d04eb,Head of Financial Services Sales Strategy,Archetype,job_role,4,,0fe44122,
b5f790f2,Enterprise Sales Director,Archetype,sub_archetype2,3,6ee4e88f;727b0c96;7b6c3cf6;5b121468;5674fbe2;64584f95;0713513e;928a68c6;a667aee8;35e4d9b7;b0f646f2;4d7ac938;904e947f;78e2b537;cf7f6bdc;3eb785cd;3646e632;dddbde3f;a48eac92;977d8d3a;16ca9c3c;3f24bed0;9d8582a5;97fb8338;d998bae6;712d0fe4;9b3d3189;16c12053;0140b913;f3ba6d73;3a80d97f;8300cd86;76330069;406a9ad1;2be55824;c1f73ae3;fd7cfec8,0a530e68,
6ee4e88f,Solution Sales Executive - Asset & Portfolio Management,Archetype,job_role,4,,b5f790f2,
727b0c96,Director of Commercial Sales,Archetype,job_role,4,,b5f790f2,
7b6c3cf6,Employee Workflows Sales Executive,Archetype,job_role,4,,b5f790f2,
5b121468,Enterprise Sales Director - Consumer Services,Archetype,job_role,4,,b5f790f2,
5674fbe2,Global Solution Sales Executive - IT Asset Management,Archetype,job_role,4,,b5f790f2,
64584f95,CRM Solution Sales Executive,Archetype,job_role,4,,b5f790f2,
0713513e,AWS Sales Executive,Archetype,job_role,4,,b5f790f2,
928a68c6,Global Solution Sales Executive - HRSD,Archetype,job_role,4,,b5f790f2,
a667aee8,Global Solution Sales Executive - Portfolio,Archetype,job_role,4,,b5f790f2,
35e4d9b7,Global Solution Sales Executive - Operation Technology,Archetype,job_role,4,,b5f790f2,
b0f646f2,Solution Sales Executive - Creator Workflows,Archetype,job_role,4,,b5f790f2,
4d7ac938,Federal Solution Sales Executive - Source to Pay,Archetype,job_role,4,,b5f790f2,
904e947f,Microsoft Azure Sales Executive,Archetype,job_role,4,,b5f790f2,
78e2b537,Enterprise Sales Director - General,Archetype,job_role,4,,b5f790f2,
cf7f6bdc,Federal Solution Sales Executive - CX,Archetype,job_role,4,,b5f790f2,
3eb785cd,Director of Solution Sales - Asset Management,Archetype,job_role,4,,b5f790f2,
3646e632,Enterprise Sales Director - Payers,Archetype,job_role,4,,b5f790f2,
dddbde3f,AWS Sales Executive - Banking,Archetype,job_role,4,,b5f790f2,
a48eac92,AppEngine Solution Sales Manager,Archetype,job_role,4,,b5f790f2,
977d8d3a,Microsoft Azure Sales Executive - Healthcare,Archetype,job_role,4,,b5f790f2,
16ca9c3c,Director of Inside Sales,Archetype,job_role,4,,b5f790f2,
3f24bed0,National Sales Director,Archetype,job_role,4,,b5f790f2,
9d8582a5,Global Solution Sales Executive - GBS,Archetype,job_role,4,,b5f790f2,
97fb8338,Global Solution Sales Executive - Customer & Industry Workflows,Archetype,job_role,4,,b5f790f2,
d998bae6,Services Sales Architect,Archetype,job_role,4,,b5f790f2,
712d0fe4,Global Solution Sales Executive - Application Engine,Archetype,job_role,4,,b5f790f2,
9b3d3189,IT Workflows Solution Sales Executive,Archetype,job_role,4,,b5f790f2,
16c12053,"Senior Vice President, Global Solution Sales",Archetype,job_role,4,,b5f790f2,
0140b913,Senior Director of Sales,Archetype,job_role,4,,b5f790f2,
f3ba6d73,Federal Employee Workflows Sales Executive,Archetype,job_role,4,,b5f790f2,
3a80d97f,Global Solution Sales Executive - Risks,Archetype,job_role,4,,b5f790f2,
8300cd86,Federal Solution Sales Executive,Archetype,job_role,4,,b5f790f2,
76330069,AWS Sales Executive - Manufacturing,Archetype,job_role,4,,b5f790f2,
406a9ad1,Global Solution Sales Executive - OT GTM,Archetype,job_role,4,,b5f790f2,
2be55824,Solution Sales Specialist - HR Service Delivery,Archetype,job_role,4,,b5f790f2,
c1f73ae3,Solution Sales Executive - App Engine,Archetype,job_role,4,,b5f790f2,
fd7cfec8,Solution Sales Executive - IT Asset Management,Archetype,job_role,4,,b5f790f2,
4aaf7890,Sales Management,Archetype,sub_archetype2,3,b97d5301;5efec076;311a59e9;457b30d0;34907881;9a29556c;8ebb8edb,0a530e68,
b97d5301,Sales Director - Employee Workflows,Archetype,job_role,4,,4aaf7890,
5efec076,ServiceNow Sales Manager,Archetype,job_role,4,,4aaf7890,
311a59e9,Sales Director - ITAM/SPM,Archetype,job_role,4,,4aaf7890,
457b30d0,Emerging Markets Sales Manager,Archetype,job_role,4,,4aaf7890,
34907881,Enterprise Sales Associate - Italian,Archetype,job_role,4,,4aaf7890,
9a29556c,Sales Engagement Manager,Archetype,job_role,4,,4aaf7890,
8ebb8edb,Sales Director - Emerging Markets,Archetype,job_role,4,,4aaf7890,
